,acousticness,analysis_url,danceability,duration_ms,energy,track_id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.578,https://api.spotify.com/v1/audio-analysis/0gplL1WMoJ6iYaPgMCL0gX,0.604,224695.0,0.366,0gplL1WMoJ6iYaPgMCL0gX,0.0,5.0,0.133,-7.519,1.0,0.0282,141.981,4.0,https://api.spotify.com/v1/tracks/0gplL1WMoJ6iYaPgMCL0gX,audio_features,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,0.13
1,0.000672,https://api.spotify.com/v1/audio-analysis/4S4ZY1yKo3WUtzsg3O6hcf,0.608,214159.0,0.841,4S4ZY1yKo3WUtzsg3O6hcf,1.67e-05,9.0,0.0704,-8.354,1.0,0.0293,129.994,4.0,https://api.spotify.com/v1/tracks/4S4ZY1yKo3WUtzsg3O6hcf,audio_features,spotify:track:4S4ZY1yKo3WUtzsg3O6hcf,0.185
2,0.274,https://api.spotify.com/v1/audio-analysis/5enxwA8aAbwZbf5qCHORXi,0.631,613027.0,0.518,5enxwA8aAbwZbf5qCHORXi,0.0,0.0,0.088,-8.771,1.0,0.0303,93.023,4.0,https://api.spotify.com/v1/tracks/5enxwA8aAbwZbf5qCHORXi,audio_features,spotify:track:5enxwA8aAbwZbf5qCHORXi,0.205
3,0.00921,https://api.spotify.com/v1/audio-analysis/3oyc1mIdCBGaU55wX7otqM,0.645,196680.0,0.809,3oyc1mIdCBGaU55wX7otqM,0.00108,11.0,0.106,-6.12,1.0,0.0385,138.978,4.0,https://api.spotify.com/v1/tracks/3oyc1mIdCBGaU55wX7otqM,audio_features,spotify:track:3oyc1mIdCBGaU55wX7otqM,0.966
4,0.0203,https://api.spotify.com/v1/audio-analysis/27NovPIUIRrOZoCHxABJwK,0.736,212000.0,0.704,27NovPIUIRrOZoCHxABJwK,0.0,3.0,0.0501,-7.409,0.0,0.0615,149.995,4.0,https://api.spotify.com/v1/tracks/27NovPIUIRrOZoCHxABJwK,audio_features,spotify:track:27NovPIUIRrOZoCHxABJwK,0.894
5,0.123,https://api.spotify.com/v1/audio-analysis/4trDNqHFg6hfx8w9uni7lY,0.735,207750.0,0.748,4trDNqHFg6hfx8w9uni7lY,0.0,11.0,0.108,-8.329,0.0,0.355,159.886,4.0,https://api.spotify.com/v1/tracks/4trDNqHFg6hfx8w9uni7lY,audio_features,spotify:track:4trDNqHFg6hfx8w9uni7lY,0.533
6,0.0383,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,0.591,141806.0,0.764,5HCyWlXZPP0y6Gqq8TgA20,0.0,1.0,0.103,-5.484,1.0,0.0483,169.928,4.0,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,audio_features,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,0.478
7,0.969,https://api.spotify.com/v1/audio-analysis/0UsmyJDsst2xhX1ZiFF3JW,0.314,74302.0,0.0855,0UsmyJDsst2xhX1ZiFF3JW,0.795,9.0,0.16,-15.775,1.0,0.0342,69.893,3.0,https://api.spotify.com/v1/tracks/0UsmyJDsst2xhX1ZiFF3JW,audio_features,spotify:track:0UsmyJDsst2xhX1ZiFF3JW,0.161
8,0.0635,https://api.spotify.com/v1/audio-analysis/2BcMwX1MPV6ZHP4tUT9uq6,0.849,242966.0,0.424,2BcMwX1MPV6ZHP4tUT9uq6,0.0,5.0,0.0834,-9.579,0.0,0.324,145.887,4.0,https://api.spotify.com/v1/tracks/2BcMwX1MPV6ZHP4tUT9uq6,audio_features,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,0.153
9,0.94,https://api.spotify.com/v1/audio-analysis/4oQrsGX1p0Ntxi8tGeINlB,0.362,221827.0,0.265,4oQrsGX1p0Ntxi8tGeINlB,0.0,8.0,0.107,-10.084,1.0,0.0355,76.404,4.0,https://api.spotify.com/v1/tracks/4oQrsGX1p0Ntxi8tGeINlB,audio_features,spotify:track:4oQrsGX1p0Ntxi8tGeINlB,0.224
