,artist_name,track_name,track_id,popularity
0,Adele,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,100
1,Mr.Kitty,Years - 2021 Remaster,4S4ZY1yKo3WUtzsg3O6hcf,20
2,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,95
3,Elvis Costello & The Attractions,Pump It Up - 2021 Remaster,3oyc1mIdCBGaU55wX7otqM,63
4,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,97
5,J.K.,Year 2021,4trDNqHFg6hfx8w9uni7lY,0
6,The Kid LAROI,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,98
7,Schoolgirl Byebye,"Year,2015",0UsmyJDsst2xhX1ZiFF3JW,25
8,Drake,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,91
9,Rod Stewart,What Are You Doing New Year's Eve?,4oQrsGX1p0Ntxi8tGeINlB,1
10,Drake,Way 2 Sexy (with Future & Young Thug),0k1WUmIRnG3xU6fvvDVfRG,91
11,yt music,Year 2021,0DBlFmx6wmnuoLaAl7hfew,0
12,Olivia Rodrigo,good 4 u,4ZtFanR9U6ndgddUvNcjcG,95
13,MrDotLegend,"Break the Law Year 2021, Vol. 1",2Uuiv9AEPBuPirbxixUzlZ,0
14,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,91
15,Topic,Breaking Me,0OEc3VKZNPV31nmRkJYVE5,1
16,Doja Cat,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,93
17,Craze_Returned,Year 2021,65hIZYAYu3fxltrGK6frIn,0
18,Adele,Oh My God,3Kkjo3cT83cw09VJyrLNwX,93
19,Amaranta,Medley Picaflor de Los Andes - Live Streaming New Year 2021 Remastered,5PraiQQAIkl0xw6pSFVX5h,22
20,Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,95
21,Armin van Buuren,A State Of Trance (ASOT 1044) - Pre-Order now: A State Of Trance Year Mix 2021,4gd0LVVhfbTyxCyABzj80T,39
22,Post Malone,One Right Now (with The Weeknd),00Blm7zeNqgYLPtW6zg8cj,93
23,Duck,Year 2021,4cdcFyEEr2g74eM9m8XohF,0
24,Bruno Mars,Smokin Out The Window,4iN16F8JtVxG2UTzp3avGl,90
25,Amaranta,Mix de Huaylas - Live Streaming audio and video New Year 2021 remasterized,5Sr84YP8kcuQrT8RRtaNlO,22
26,Billie Eilish,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,94
27,Elvis Costello & The Attractions,"Radio, Radio - 2021 Remaster",0qvo5kciIqZJn1t8jdfqDn,47
28,Lil Nas X,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,94
